issue_number,url,title,input_sha256,retrieval_complete,truncated,reviewer,review_action,review_route,jev_status,jev_route,jev_reason,route_agrees,review_design,jev_design_probability,jev_design_label,review_agent_behavior,jev_agent_behavior_probability,jev_agent_behavior_label,review_memory,jev_memory_probability,jev_memory_label,review_cross_repo,jev_cross_repo_probability,jev_cross_repo_label,review_substance,jev_substance_probability,jev_substance_label,review_design_context,jev_design_context_probability,jev_design_context_label,review_reason,review_flags,review_evidence,input_file,request_file,review_file,result_file,response_file
4304,https://github.com/OpenHands/software-agent-sdk/issues/4304,CI stability audit: unpinned/floating dependencies that can flip CI from green to red,6918bbd40e9870bf9d2e2efdc4986749206abc87e0953b0b2da5a40f4f0aeb40,True,False,field_notes_site,investigate,write,ok,write,relevant_with_substance,True,yes,0.75,yes,yes,0.68,yes,no,0.07,no,no,0.36,no,yes,0.73,yes,yes,0.76,yes,"The inventory supports a useful explanation of reproducible agent environments and the ownership of mutable runtime inputs, beyond individual dependency pins. No interaction between two of the three watched repositories is actually described.",[],"[{""text"": ""silently change agent behavior"", ""supports"": [""agent_behavior"", ""substance""]}]",inputs/group-3.json,requests/4304.json,reviews/group-3.json,results/4304.json,responses/4304/attempt-01.json
4308,https://github.com/OpenHands/software-agent-sdk/issues/4308,Discussion: how do we prevent loose CI dependencies from being merged?,600054e42c27f3296e1fd2c1228a57be20720a4a0187c76e41c8f3d143cc2022,True,False,field_notes_runtime,investigate,write,ok,defer,uncertain_design_context,False,yes,0.95,yes,no,0.12,no,no,0.05,no,yes,0.22,no,yes,0.9,yes,yes,0.6,no,"The layered supply-chain proposal separates immutable inputs, freshness and regression prevention, with rollout tradeoffs across SDK and Canvas. It offers a substantive security-policy design explanation.",[],"[{""text"": ""three different problems needing three different tools"", ""supports"": [""design"", ""substance"", ""cross_repo""]}]",inputs/group-1.json,requests/4308.json,reviews/group-1.json,results/4308.json,responses/4308/attempt-01.json
4317,https://github.com/OpenHands/software-agent-sdk/issues/4317,"VSCode connection token is the agent-server session API key, and is exposed via URL and argv",36b53fedc33249fd428897adbae0f922bed04d17b3df5ffb08c52e9a707e7e51,True,False,field_notes_site,investigate,write,ok,write,relevant_with_substance,True,yes,0.91,yes,no,0.31,no,no,0.08,no,yes,0.59,no,yes,0.89,yes,yes,0.88,yes,"Editor access reuses a broader API credential, exposing a concrete privilege-boundary flaw. Canvas mitigations and server-side token ownership form an explicit cross-repository contract.",[],"[{""text"": ""it is full `/api/*` access on the agent server"", ""supports"": [""design"", ""substance""]}]",inputs/group-3.json,requests/4317.json,reviews/group-3.json,results/4317.json,responses/4317/attempt-01.json
4338,https://github.com/OpenHands/software-agent-sdk/issues/4338,"Activating an LLM profile via /api/profiles/{name}/activate doesn't update AgentProfile.llm_profile_ref, allowing the two to drift silently",b69a7c338814b732b0e2e813734ad44e5068856447d511fdda6a173e0cf2d7a9,True,False,field_notes_runtime,investigate,write,ok,write,relevant_with_substance,True,yes,0.96,yes,no,0.89,yes,no,0.39,no,yes,0.68,yes,yes,0.91,yes,yes,0.71,yes,"The drift between profile pointers and effective settings exposes competing configuration authorities, with a concrete Canvas launch contract and several genuine repair tradeoffs.",[],"[{""text"": ""Nothing reconciles the two"", ""supports"": [""design"", ""substance""]}]",inputs/group-1.json,requests/4338.json,reviews/group-1.json,results/4338.json,responses/4338/attempt-01.json
4353,https://github.com/OpenHands/software-agent-sdk/issues/4353,Canvas Extensions: Phase 1 test matrix,1cbb849c12432630d79ee536c0b313295a736fb0e64e839838b7afefb2f1c857,True,False,field_notes_site,investigate,write,ok,defer,uncertain_design_context,False,yes,0.86,yes,yes,0.29,no,no,0.27,no,yes,0.52,no,yes,0.64,no,yes,0.58,no,"Although framed as tests, this matrix probes real extension trust boundaries: enablement, containment, refresh reconfirmation and generic SDK versus Canvas behavior. It names the missing invariants rather than merely requesting coverage.",[],"[{""text"": ""Refresh check never mutates or deactivates the active bundle"", ""supports"": [""design"", ""agent_behavior"", ""design_context""]}]",inputs/group-3.json,requests/4353.json,reviews/group-3.json,results/4353.json,responses/4353/attempt-01.json
4354,https://github.com/OpenHands/software-agent-sdk/issues/4354,Canvas Extensions: OpenAPI spec + typescript-client publish + capability discovery,c63ea849315633fe720bdd619c00c70793e94fc9570ee31d9516d444d9f21f30,True,False,field_notes_runtime,investigate,write,ok,defer,uncertain_design_context,False,yes,0.86,yes,no,0.43,no,no,0.04,no,yes,0.72,yes,yes,0.66,no,yes,0.67,no,The short description identifies an explicit capability-discovery contract replacing error probing and ties generated client delivery to the server specification. That is sufficient to motivate a scoped design investigation.,"[""standalone_issue_scope""]","[{""text"": ""add an explicit capability-discovery mechanism instead of relying on 404 probing."", ""supports"": [""design"", ""cross_repo"", ""design_context""]}]",inputs/group-1.json,requests/4354.json,reviews/group-1.json,results/4354.json,responses/4354/attempt-01.json
4355,https://github.com/OpenHands/software-agent-sdk/issues/4355,Canvas Extensions: audit logging + agentServer.request telemetry,0f526d20cf912d46257655ddae5d592f47aa11956fba31f29d17c592df43cc46,True,False,field_notes_runtime,skip,skip,ok,defer,uncertain_design_context,False,no,0.87,yes,no,0.37,no,no,0.21,no,no,0.44,no,no,0.7,yes,yes,0.64,no,The short issue sufficiently specifies audit events and minimum telemetry fields for its narrow scope. It does not state an additional architecture question or agent-behavior consequence.,"[""routine_but_clear""]","[{""text"": ""Audit-log events for install/enable/disable/refresh/uninstall"", ""supports"": [""design_context""]}]",inputs/group-1.json,requests/4355.json,reviews/group-1.json,results/4355.json,responses/4355/attempt-01.json
4356,https://github.com/OpenHands/software-agent-sdk/issues/4356,Canvas Extensions: manifest API-scope field + CSRF confirmation + reserved names,9916a5c703297f8637d3fdb61239b9f62ca9941495b7b4922231061a0e023ed3,True,False,field_notes_pipeline,investigate,write,ok,defer,uncertain_design_context,False,yes,0.91,yes,no,0.18,no,no,0.04,no,yes,0.41,no,yes,0.79,yes,yes,0.64,no,"The request distinguishes declarative scope metadata from absent enforcement and connects extension manifests, server authorization, and Canvas route collisions. Those trust boundaries merit a note even though the feature is short and initially non-enforcing.",[],"[{""text"": ""no per-route or per-scope authorization exists anywhere in that layer today."", ""supports"": [""design"", ""substance""]}]",inputs/group-2.json,requests/4356.json,reviews/group-2.json,results/4356.json,responses/4356/attempt-01.json
4357,https://github.com/OpenHands/software-agent-sdk/issues/4357,Canvas Extensions: adversarial fuzz suite for entrypoint/bundle paths,3532c6c5be86f11cab95291eaa05f67aa6a2bbd4df5f89ce106d2ac00e880784,True,False,field_notes_pipeline,insufficient_description,needs_info,ok,needs_info,insufficient_design_context,True,unclear,0.67,yes,no,0.58,no,no,0.05,no,no,0.3,no,unclear,0.69,no,no,0.28,no,"The title identifies a security-test area, but the body delegates the baseline elsewhere and does not say which additional threat classes or acceptance boundary the new fuzz suite should cover. The available text is insufficient to assess a substantive design note.",[],"[{""text"": ""Fuzz suite beyond the basic traversal/symlink cases already covered in the Phase 1 test matrix."", ""supports"": [""design_context"", ""substance""]}]",inputs/group-2.json,requests/4357.json,reviews/group-2.json,results/4357.json,responses/4357/attempt-01.json
4363,https://github.com/OpenHands/software-agent-sdk/issues/4363,"InstallationManager.update() silently drops pinned refs (should reconcile, not force ref=None)",b2f566bc834f37ab8cfa299cf157f54370ae7d3d985e5015f70a761630e38e51,True,False,field_notes_runtime,investigate,write,ok,write,relevant_with_substance,True,yes,0.93,yes,yes,0.38,no,no,0.17,no,yes,0.6,no,yes,0.88,yes,yes,0.89,yes,Routine refresh silently changes the trust/version boundary by dropping a pinned ref. The reconcile-versus-repin distinction also constrains Canvas's staged-install flow.,[],"[{""text"": ""silently un-pins it and jumps to the source's current default-branch HEAD"", ""supports"": [""design"", ""agent_behavior"", ""cross_repo""]}]",inputs/group-1.json,requests/4363.json,reviews/group-1.json,results/4363.json,responses/4363/attempt-01.json
4382,https://github.com/OpenHands/software-agent-sdk/issues/4382,"[Bug]: ACP derived cost ignores cache/thought buckets, silently zeroes unknown models, and can inflate cost when UsageUpdate cost stalls",8b7be946d75c429f71cdb25b367afbe642c4ed8da26b52d05f28319beeffff09,True,False,field_notes_pipeline,investigate,write,ok,write,relevant_with_substance,True,yes,0.91,yes,yes,0.97,yes,no,0.11,no,no,0.18,no,yes,0.89,yes,yes,0.81,yes,"The report separates token-derived and authoritative provider costs, missing buckets, unknown values, and canceled-turn accounting. Correct cost attribution is a substantial agent-performance measurement contract; cache pricing is not agent information memory.",[],"[{""text"": ""the two sources cannot both contribute."", ""supports"": [""design"", ""agent_behavior"", ""substance""]}]",inputs/group-2.json,requests/4382.json,reviews/group-2.json,results/4382.json,responses/4382/attempt-01.json
4405,https://github.com/OpenHands/software-agent-sdk/issues/4405,Spec: Support the Agent Plugins (agent-plugins.org) portable package format,1db27a49b909bc7645a76ecb357f15bfc2a41aa0ae5e8aae14b7ee9618b9e83f,True,False,field_notes_site,investigate,write,ok,write,relevant_with_substance,True,yes,0.97,yes,yes,0.57,no,no,0.19,no,no,0.35,no,yes,0.9,yes,yes,0.84,yes,"This detailed plugin-format design covers compatibility, discovery precedence, containment, trust, failure isolation and extension mapping. It changes how agent capabilities are packaged and loaded; external standards alone are not watched-repository interaction, and plugin data storage is not itself agent memory.",[],"[{""text"": ""Apply the narrowest failure boundary"", ""supports"": [""design"", ""agent_behavior"", ""design_context""]}]",inputs/group-3.json,requests/4405.json,reviews/group-3.json,results/4405.json,responses/4405/attempt-01.json
4432,https://github.com/OpenHands/software-agent-sdk/issues/4432,fix(mcp): pin fetch server runtime dependencies,dc3732d1fef2193ae41ea4e82d2c30ced869c700f30bd80987060336757a2047,True,False,field_notes_pipeline,skip,skip,ok,defer,uncertain_design_context,False,no,0.36,no,no,0.46,no,no,0.04,no,no,0.31,no,no,0.39,no,yes,0.5,no,"Pinning the fetch server's runtime dependencies is a clear ordinary maintenance request, even though the body is tiny and the motivating PR is external to this input. It supplies no substantive behavior or design question to investigate.",[],"[{""text"": ""Pin the fetch MCP server runtime dependencies."", ""supports"": [""design_context""]}]",inputs/group-2.json,requests/4432.json,reviews/group-2.json,results/4432.json,responses/4432/attempt-01.json
4433,https://github.com/OpenHands/software-agent-sdk/issues/4433,refactor(sdk): centralize LLM call context,25f697bad74088c518b550e3b91ecf8e8d800503715bef554d1b98b7e9916a23,True,False,field_notes_site,insufficient_description,needs_info,ok,needs_info,insufficient_design_context,True,unclear,0.85,yes,unclear,0.8,yes,no,0.84,yes,no,0.3,no,unclear,0.69,no,no,0.2,no,"The title is merely repeated and a PR is linked. The supplied text does not say what call context contains, what problem centralization solves, or the desired behavior.",[],"[{""text"": ""Centralize LLM call context in the SDK."", ""supports"": [""design_context""]}]",inputs/group-3.json,requests/4433.json,reviews/group-3.json,results/4433.json,responses/4433/attempt-01.json
4454,https://github.com/OpenHands/software-agent-sdk/issues/4454,"MCP server connection failure at startup aborts the whole conversation (should degrade, not 500)",2d007002adff1b7fe849e171b96b0e79996897602c09fb8c2b90a75eac96b575,True,False,field_notes_runtime,investigate,write,ok,write,relevant_with_substance,True,yes,0.92,yes,yes,0.95,yes,no,0.04,no,no,0.6,no,yes,0.9,yes,yes,0.86,yes,Optional MCP tool discovery currently forms an all-or-nothing initialization boundary. The proposed graceful degradation versus strict mode is a substantial agent availability and safety design choice.,[],"[{""text"": ""A dead MCP server should degrade the toolset, not kill the conversation."", ""supports"": [""design"", ""agent_behavior"", ""design_context""]}]",inputs/group-1.json,requests/4454.json,reviews/group-1.json,results/4454.json,responses/4454/attempt-01.json
4477,https://github.com/OpenHands/software-agent-sdk/issues/4477,Add cheap load tests for concurrent conversations,5fdace7e2719d366cfa2514d3f0cf287df15bc7ba300c088895d435f75eea9c8,True,False,field_notes_site,investigate,write,ok,write,relevant_with_substance,True,yes,0.6,no,yes,0.96,yes,no,0.04,no,no,0.48,no,yes,0.77,yes,yes,0.83,yes,Tests expose whether independent conversations really overlap LLM work; this is a concurrency/performance contract. The other-repository link alone does not establish a cross-repository interaction.,[],"[{""text"": ""Verifies LLM requests overlap rather than execute serially."", ""supports"": [""design"", ""agent_behavior"", ""substance""]}]",inputs/group-3.json,requests/4477.json,reviews/group-3.json,results/4477.json,responses/4477/attempt-01.json
4493,https://github.com/OpenHands/software-agent-sdk/issues/4493,"[Bug]: Internal MCP self-connection fails with ""405 Method Not Allowed"" on rootless Podman (blocks all conversations)",1a9642236c6bf18dd942c0fc49d82e3540efecce7600f278cb51d99c3ef21f0f,True,False,field_notes_pipeline,investigate,write,ok,defer,uncertain_design_context,False,yes,0.82,yes,yes,0.93,yes,no,0.05,no,yes,0.82,yes,yes,0.84,yes,yes,0.45,no,"The app's internally configured MCP endpoint and sandbox URL interpretation prevent all conversations under Podman. Concrete app/server address and failure-propagation behavior makes this a cross-repository integration issue, although the exact URL root cause remains a hypothesis.",[],"[{""text"": ""the internal MCP client apparently now attempts HTTPS against a plain-HTTP port."", ""supports"": [""design"", ""cross_repo""]}]",inputs/group-2.json,requests/4493.json,reviews/group-2.json,results/4493.json,responses/4493/attempt-01.json
4498,https://github.com/OpenHands/software-agent-sdk/issues/4498,"Incremental view path skips enforce_properties after condensation, leaving orphaned tool_results/tool_uses for the LLM",09e39085ae0bf73fe02421f9022d8234b6573a686841c34420ea4a94c54b9b60,True,False,field_notes_site,investigate,write,ok,write,relevant_with_substance,True,yes,0.85,yes,yes,0.97,yes,yes,0.97,yes,no,0.24,no,yes,0.9,yes,yes,0.92,yes,"Incremental compaction violates action/observation pairing while the rebuild path repairs it. This directly links agent context correctness to a deliberate performance optimization, with clear failure conditions and intended invariants.",[],"[{""text"": ""The **incremental** path (`ConversationState.view` fast path, which calls `append_event` for each new tail event) intentionally skips"", ""supports"": [""design"", ""memory"", ""design_context""]}]",inputs/group-3.json,requests/4498.json,reviews/group-3.json,results/4498.json,responses/4498/attempt-01.json
4511,https://github.com/OpenHands/software-agent-sdk/issues/4511,[Bug]: `Message.to_chat_dict` emits `cache_control` when caching is disabled,9ad980fd9330552e771eaafcd6d895ea464a383b7daac916fc75ff2b3be03c9e,True,False,field_notes_pipeline,investigate,write,ok,write,relevant_with_substance,True,yes,0.7,yes,yes,0.91,yes,no,0.28,no,no,0.2,no,yes,0.84,yes,yes,0.89,yes,"Independent serialization features accidentally re-enable explicitly disabled prompt caching. The public option versus stored message-marker precedence is a meaningful LLM request contract, with direct evidence of the interaction; caching metadata here is not agent memory.",[],"[{""text"": ""Disabling caching remains effective when list serialization is selected by function calling or vision support."", ""supports"": [""design"", ""agent_behavior"", ""design_context""]}]",inputs/group-2.json,requests/4511.json,reviews/group-2.json,results/4511.json,responses/4511/attempt-01.json
4520,https://github.com/OpenHands/software-agent-sdk/issues/4520,[Bug]: `parse_extension_source` duplicates an existing `.git` suffix in GitHub shorthand,fc2ae3e2bd400870df29c146aa31f63f6b2a3b393d7c1d91504bccfee3fffe30,True,False,field_notes_site,skip,skip,ok,write,relevant_with_substance,False,no,0.66,yes,no,0.33,no,no,0.02,no,no,0.17,no,no,0.8,yes,yes,0.92,yes,"This is a fully specified ordinary parser-normalization bug, with duplicate .git suffixes and a small idempotent normalization or rejection fix. Its presence in extension fetching does not make it a substantial agent design topic.",[],"[{""text"": ""It should not be accepted and converted into an unusable clone URL."", ""supports"": [""design_context""]}]",inputs/group-3.json,requests/4520.json,reviews/group-3.json,results/4520.json,responses/4520/attempt-01.json
4532,https://github.com/OpenHands/software-agent-sdk/issues/4532,[Bug]: Reopening a confirmation-paused conversation drops the assistant tool_use message from the next request,b84ecc7043b7b9b47263c674bae58ddd3c2ae025831cf0c85dab9ca4fb234f2c,True,False,field_notes_runtime,investigate,write,ok,defer,uncertain_design_context,False,yes,0.9,yes,yes,0.97,yes,yes,0.95,yes,no,0.3,no,yes,0.89,yes,yes,0.66,no,"Correct persisted events become an invalid resumed model request because a temporary unmatched-action exclusion survives approval. This is a strong lifecycle, memory-view and human-confirmation contract case.",[],"[{""text"": ""The persisted event log is correct"", ""supports"": [""design"", ""memory"", ""agent_behavior""]}]",inputs/group-1.json,requests/4532.json,reviews/group-1.json,results/4532.json,responses/4532/attempt-01.json
4533,https://github.com/OpenHands/software-agent-sdk/issues/4533,Conversation launch drops LLM api_key when the seeded `default` agent profile is active (litellm AuthenticationError),33d85ed4b7550be8f550d244cda35e1d8e440a15e21c889780a11e9b6795c9b3,True,False,field_notes_pipeline,investigate,write,ok,defer,uncertain_design_context,False,yes,0.83,yes,yes,0.95,yes,no,0.28,no,yes,0.66,yes,yes,0.84,yes,yes,0.61,no,"The default-profile launch path drops a verified decryptable credential while named-profile launch works. This exposes a concrete Canvas/server settings and secret-resolution contract, with a reproducible agent-startup failure.",[],"[{""text"": ""The launched conversation ends up with no LLM api key"", ""supports"": [""design"", ""agent_behavior"", ""cross_repo""]}]",inputs/group-2.json,requests/4533.json,reviews/group-2.json,results/4533.json,responses/4533/attempt-01.json
4537,https://github.com/OpenHands/software-agent-sdk/issues/4537,"[Bug]:  TaskToolSet delegation holds the parent ConversationState lock for the whole sub-agent run, saturating the executor pool and freezing the conversation list on agent canvas UI",6a92bfdc435758a510c2a04cb90bd8c83746df94d43e8d1dad9aa63ce647ed27,True,False,field_notes_pipeline,investigate,write,ok,defer,uncertain_design_context,False,yes,0.92,yes,yes,0.96,yes,no,0.1,no,yes,0.7,yes,yes,0.92,yes,yes,0.57,no,"Long-running delegation holds a state lock while Canvas polling consumes the shared executor, freezing a separate read API. Lock ownership, bounded snapshots, and pool isolation present a concrete agent-performance and SDK/Canvas integration problem; the mentioned RAM is not agent memory.",[],"[{""text"": ""A stale status seems strictly better than an unbounded block."", ""supports"": [""design"", ""substance""]}, {""text"": ""every sidebar poll parks an executor thread."", ""supports"": [""agent_behavior"", ""cross_repo""]}]",inputs/group-2.json,requests/4537.json,reviews/group-2.json,results/4537.json,responses/4537/attempt-01.json
4540,https://github.com/OpenHands/software-agent-sdk/issues/4540,[Bug]: Tool calls return incorrect/weird syntax with Synthetic Provider,8ebd0b38f11f816733657e2b3902586331a6e022e65e233bf17c9b6c55f13ee9,True,False,field_notes_runtime,investigate,write,ok,defer,uncertain_design_context,False,yes,0.67,yes,yes,0.95,yes,no,0.04,no,no,0.34,no,yes,0.82,yes,yes,0.69,no,The report identifies a model-output/tool-execution boundary and explicitly distinguishes executable wrappers from prose mentioning them. That parsing ambiguity is relevant to agent reliability.,[],"[{""text"": ""Plain prose mentioning `<tool_call>` is not converted into a call."", ""supports"": [""design"", ""agent_behavior"", ""design_context""]}]",inputs/group-1.json,requests/4540.json,reviews/group-1.json,results/4540.json,responses/4540/attempt-01.json
4544,https://github.com/OpenHands/software-agent-sdk/issues/4544,[Bug]: Triggered skills and path rules silently stop applying after condensation,753516e647baf84297a6cddcd67b9155328e3a0d6a3068281a0b6305fe07ed9a,True,False,field_notes_pipeline,investigate,write,ok,defer,uncertain_design_context,False,yes,0.95,yes,yes,0.96,yes,yes,0.98,yes,no,0.32,no,yes,0.92,yes,yes,0.66,no,"Durable activation markers outlive the context that contained triggered instructions, preventing recovery after condensation. The report carefully distinguishes deterministic path-rule loss from lossy keyword summaries and asks for the intended lifecycle contract instead of assuming a particular fix.",[],"[{""text"": ""The \""already activated\"" marker lives in persistent conversation state and is never reset."", ""supports"": [""design"", ""agent_behavior"", ""memory""]}]",inputs/group-2.json,requests/4544.json,reviews/group-2.json,results/4544.json,responses/4544/attempt-01.json
4549,https://github.com/OpenHands/software-agent-sdk/issues/4549,[Bug]: When trying to create Azure based LLM API is rejected with bad request,052f4bc7c1e598a1c5f93fd1c69f5f626ec4ac38a8a627bc93d9ba2cce9e2b97,True,False,field_notes_site,uncertain,defer,ok,defer,uncertain_design_context,True,no,0.5,no,yes,0.82,yes,no,0.02,no,no,0.52,no,unclear,0.61,no,yes,0.4,no,The provider rejection and desired successful setup are clear enough for a bug issue. It may be a routine API-version configuration fix; the description alone does not establish a substantial design lesson.,[],"[{""text"": ""Responses API is enabled only for api-version 2025-03-01-preview and later"", ""supports"": [""agent_behavior"", ""design_context""]}]",inputs/group-3.json,requests/4549.json,reviews/group-3.json,results/4549.json,responses/4549/attempt-01.json
4554,https://github.com/OpenHands/software-agent-sdk/issues/4554,"CriticMixin always calls evaluate() with git_patch=None, so critics grade the transcript instead of the diff",579ae1da0f48fe1f3ab57cec76cb19ab4c7bf989afd8c5968e0a09b4d3c20348,True,False,field_notes_pipeline,investigate,write,ok,write,relevant_with_substance,True,yes,0.91,yes,yes,0.97,yes,no,0.28,no,no,0.31,no,yes,0.87,yes,yes,0.88,yes,"Critic evidence depends on tool transcript shape rather than actual changes, causing unnecessary refinement. Patch provenance, preexisting edits, empty repositories, and index safety make this a substantive evaluation-design question with observed behavioral consequences.",[],"[{""text"": ""false negatives that depend on which tools the agent happened to use"", ""supports"": [""agent_behavior"", ""substance""]}]",inputs/group-2.json,requests/4554.json,reviews/group-2.json,results/4554.json,responses/4554/attempt-01.json
4555,https://github.com/OpenHands/software-agent-sdk/issues/4555,[Bug]: Agent Server event endpoints hang indefinitely when LocalConversation cleanup blocks,114b266c0a7136d5dc09c6493769277b712c1b0dce29cea18884d3059e73b21b,True,False,field_notes_site,investigate,write,ok,defer,uncertain_design_context,False,yes,0.88,yes,no,0.71,yes,no,0.92,yes,no,0.51,no,yes,0.86,yes,yes,0.69,no,A blocked cleanup lifecycle prevents unrelated access to completed conversations. This is a bounded-cleanup/service-isolation design issue; stored-event access is not itself evidence of changed agent memory or reasoning.,[],"[{""text"": ""Conversation cleanup must be bounded and must not indefinitely block event"", ""supports"": [""design"", ""substance""]}]",inputs/group-3.json,requests/4555.json,reviews/group-3.json,results/4555.json,responses/4555/attempt-01.json
4556,https://github.com/OpenHands/software-agent-sdk/issues/4556,"[Feature]: Per-conversation sub-agent deny-list (disabled_agents), enforced at spawn time",d5c80550994a543f764c9def7f6265e23140a2e37c776539622162f84f2004ff,True,False,field_notes_site,investigate,write,ok,write,relevant_with_substance,True,yes,0.86,yes,yes,0.92,yes,no,0.51,no,yes,0.79,yes,yes,0.83,yes,yes,0.92,yes,"Per-conversation spawn-time enforcement makes the Canvas toggle real without corrupting the shared global registry. The issue develops scope, resume behavior and why prompt hiding is insufficient; the small implementation estimate does not erase the design question.",[],"[{""text"": ""the sub-agent registry is global to the process"", ""supports"": [""design"", ""agent_behavior"", ""cross_repo"", ""design_context""]}]",inputs/group-3.json,requests/4556.json,reviews/group-3.json,results/4556.json,responses/4556/attempt-01.json
4558,https://github.com/OpenHands/software-agent-sdk/issues/4558,Encrypted LLM profiles are decrypted only on the conversation path — FallbackStrategy (and sub-agents) load them without the cipher,c5db2a991a147189e9fb4feaa5ea6e8663b380ea966e2e5362fdee66c0c2ef73,True,False,field_notes_pipeline,investigate,write,ok,write,relevant_with_substance,True,yes,0.93,yes,yes,0.95,yes,no,0.51,no,no,0.3,no,yes,0.87,yes,yes,0.86,yes,"Optional decryption dependencies are lost on fallback and subagent resolution paths, with masked fallback failures and legacy plaintext behavior explaining inconsistent reports. The requested structural contract fix is more interesting than a single missing argument.",[],"[{""text"": ""Omitting the cipher is made structurally impossible rather than fixed per call site"", ""supports"": [""design"", ""agent_behavior"", ""substance""]}]",inputs/group-2.json,requests/4558.json,reviews/group-2.json,results/4558.json,responses/4558/attempt-01.json
4561,https://github.com/OpenHands/software-agent-sdk/issues/4561,Feature: Allow custom title generation prompt via ConversationConfig,c27479dec0ab847de52d895662fd1b091b4b99747e4f50e73ec5520899776dcb,True,False,field_notes_pipeline,investigate,write,ok,write,relevant_with_substance,True,yes,0.92,yes,yes,0.9,yes,no,0.65,yes,yes,0.9,yes,yes,0.81,yes,yes,0.89,yes,"A configurable LLM title prompt requires choices about template context and instruction roles plus persisted config and Canvas payload propagation. The described SDK-to-frontend field contract is concrete, even though title generation itself is a small feature.",[],"[{""text"": ""Decide whether the custom prompt replaces the user message, the system message, or both."", ""supports"": [""design"", ""agent_behavior""]}, {""text"": ""settings plumbing, and payload wiring to send the field at conversation start."", ""supports"": [""cross_repo""]}]",inputs/group-2.json,requests/4561.json,reviews/group-2.json,results/4561.json,responses/4561/attempt-01.json
4562,https://github.com/OpenHands/software-agent-sdk/issues/4562,[Bug]: workspace files return 401 on private-LAN HTTP because the session cookie is rejected,b74e9e24d08b5bab798ec1e77c28aea278df3b5f09abc352a58f89d42981fb53,True,False,field_notes_runtime,investigate,write,ok,write,relevant_with_substance,True,yes,0.73,yes,no,0.3,no,no,0.14,no,no,0.32,no,yes,0.88,yes,yes,0.92,yes,"The bug links transport security, same-site versus cross-site embedding and browser cookie acceptance. It explains why a successful authentication endpoint is not enough to establish a usable session.",[],"[{""text"": ""Cross-site embedding should continue to require HTTPS."", ""supports"": [""design"", ""design_context""]}]",inputs/group-1.json,requests/4562.json,reviews/group-1.json,results/4562.json,responses/4562/attempt-01.json
4574,https://github.com/OpenHands/software-agent-sdk/issues/4574,50/50 RevShare Integration: OpenHands & AIML API,05fbe62f41529fd2d07106be57e0252ba4b6fc94fb5e49a6b17b7ec7162c8c01,True,False,field_notes_pipeline,skip,skip,ok,skip,below_threshold,True,no,0.81,yes,no,0.39,no,no,0.03,no,yes,0.49,no,no,0.57,no,yes,0.86,yes,"Provider catalog exposure and attribution headers are concretely specified and do affect the SDK-to-Canvas catalog surface. However, the request is a routine verified-provider/business integration with no substantive new agent or architectural mechanism to explain.",[],"[{""text"": ""Nothing else changes: model ids stay `aiml/<model>`, no new base URL or env var."", ""supports"": [""design_context""]}, {""text"": ""Agent Canvas provider picker"", ""supports"": [""cross_repo""]}]",inputs/group-2.json,requests/4574.json,reviews/group-2.json,results/4574.json,responses/4574/attempt-01.json
4575,https://github.com/OpenHands/software-agent-sdk/issues/4575,[Bug]: Agent terminal commands inherit server process priority,5d9553d0d5ace8900af7f1286040ee1d9776d9d250af5b69df0bd903b7985309,True,False,field_notes_pipeline,investigate,write,ok,write,relevant_with_substance,True,yes,0.87,yes,yes,0.91,yes,no,0.02,no,yes,0.64,no,yes,0.86,yes,yes,0.89,yes,"Agent-generated CPU-heavy commands compete with the server that controls them. Platform-specific child scheduling, an opt-out, and fallback behavior define a meaningful performance/isolation contract grounded in the linked product-side reproduction and SDK implementation scope.",[],"[{""text"": ""CPU-heavy commands such as parallel Rust compilation can therefore starve the server event loop"", ""supports"": [""design"", ""agent_behavior"", ""cross_repo""]}]",inputs/group-2.json,requests/4575.json,reviews/group-2.json,results/4575.json,responses/4575/attempt-01.json
4577,https://github.com/OpenHands/software-agent-sdk/issues/4577,[Feature]: Add per-key tag endpoints to avoid read-modify-write on PATCH /api/conversations/{id},c7f6c30f1e325c43a3f37899ec45588196f75eab6eca561c7b081c335b89254c,True,False,field_notes_site,investigate,write,ok,write,relevant_with_substance,True,yes,0.92,yes,no,0.31,no,no,0.4,no,yes,0.82,yes,yes,0.84,yes,yes,0.92,yes,Atomic tag updates address lost writes and define metadata timestamp semantics across SDK endpoints and an identified Canvas caller. The text fully specifies the race and intended contract.,[],"[{""text"": ""a race between two clients patching different keys will silently drop one client's write."", ""supports"": [""design"", ""cross_repo"", ""substance""]}]",inputs/group-3.json,requests/4577.json,reviews/group-3.json,results/4577.json,responses/4577/attempt-01.json
